"Time","TOI","HbO2","HHb","HbT","PaCO2","t","u","EtCO2"
7.85,-0.079882022,-0.3509324492,-0.04562376305,-0.2905631633,36.95503175285,471,1,-3.04496824715
7.86666666666667,-0.075794007,-0.3485749294,-0.0470891096,-0.289290233266667,36.9861119798667,472,1,-3.01388802013333
7.88333333333333,-0.071705992,-0.3462174096,-0.04855445615,-0.288017303233333,37.0171922068833,473,1,-2.98280779311667
7.9,-0.067617977,-0.3438598898,-0.0500198027,-0.2867443732,37.0482724339,474,1,-2.9517275661
7.91666666666667,-0.063529962,-0.34150237,-0.05148514925,-0.285471443166667,37.0793526609167,475,1,-2.92064733908333
7.93333333333333,-0.059441947,-0.3391448502,-0.0529504958,-0.284198513133333,37.1104328879333,476,1,-2.88956711206667
7.95,-0.055353932,-0.3367873304,-0.05441584235,-0.2829255831,37.14151311495,477,1,-2.85848688505
7.96666666666667,-0.051265917,-0.3344298106,-0.0558811889,-0.281652653066667,37.1725933419667,478,1,-2.82740665803333
7.98333333333333,-0.047177902,-0.3320722908,-0.05734653545,-0.280379723033333,37.2036735689833,479,1,-2.79632643101667
8,-0.043089887,-0.329714771,-0.058811882,-0.279106793,37.234753796,480,1,-2.765246204
8.01666666666667,-0.0396647933666667,-0.3277395517,-0.0600396047666667,-0.278040284033333,37.2607939862167,481,1,-2.73920601378333
8.03333333333333,-0.0362396997333333,-0.3257643324,-0.0612673275333333,-0.276973775066667,37.2868341764333,482,1,-2.71316582356667
8.05,-0.0328146061,-0.3237891131,-0.0624950503,-0.2759072661,37.31287436665,483,1,-2.68712563335
8.06666666666667,-0.0293895124666667,-0.3218138938,-0.0637227730666667,-0.274840757133333,37.3389145568667,484,1,-2.66108544313333
8.08333333333333,-0.0259644188333333,-0.3198386745,-0.0649504958333333,-0.273774248166667,37.3649547470833,485,1,-2.63504525291667
8.1,-0.0225393252,-0.3178634552,-0.0661782186,-0.2727077392,37.3909949373,486,1,-2.6090050627
8.11666666666667,-0.0191142315666667,-0.3158882359,-0.0674059413666667,-0.271641230233333,37.4170351275167,487,1,-2.58296487248333
8.13333333333333,-0.0156891379333333,-0.3139130166,-0.0686336641333333,-0.270574721266667,37.4430753177333,488,1,-2.55692468226667
