"Time","TOI","HbO2","HHb","HbT","PaCO2","t","u","EtCO2"
28.1333333333333,0.2225131088,-0.113247170266667,-0.1009040668,-0.189977864333333,39.7827489598667,1688,1,-0.217251040133333
28.15,0.22376123615,-0.1133052843,-0.1007138764,-0.190216205,39.7827750366,1689,1,-0.2172249634
28.1666666666667,0.2250093635,-0.113363398333333,-0.100523686,-0.190454545666667,39.7828011133333,1690,1,-0.217198886666667
28.1833333333333,0.22625749085,-0.113421512366667,-0.1003334956,-0.190692886333333,39.7828271900667,1691,1,-0.217172809933333
28.2,0.2275056182,-0.1134796264,-0.1001433052,-0.190931227,39.7828532668,1692,1,-0.2171467332
28.2166666666667,0.22875374555,-0.113537740433333,-0.0999531148,-0.191169567666667,39.7828793435333,1693,1,-0.217120656466667
28.2333333333333,0.2300018729,-0.113595854466667,-0.0997629244,-0.191407908333333,39.7829054202667,1694,1,-0.217094579733333
28.25,0.23125000025,-0.1136539685,-0.099572734,-0.191646249,39.782931497,1695,1,-0.217068503
28.2666666666667,0.2324981276,-0.113712082533333,-0.0993825436,-0.191884589666667,39.7829575737333,1696,1,-0.217042426266667
28.2833333333333,0.23374625495,-0.113770196566667,-0.0991923532,-0.192122930333333,39.7829836504667,1697,1,-0.217016349533333
28.3,0.2349943823,-0.1138283106,-0.0990021628,-0.192361271,39.7830097272,1698,1,-0.2169902728
28.3166666666667,0.23624250965,-0.113886424633333,-0.0988119724,-0.192599611666667,39.7830358039333,1699,1,-0.216964196066667
28.3333333333333,0.237490637,-0.113944538666667,-0.098621782,-0.192837952333333,39.7830618806667,1700,1,-0.216938119333333
28.35,0.23873876435,-0.1140026527,-0.0984315916,-0.193076293,39.7830879574,1701,1,-0.2169120426
28.3666666666667,0.2399868917,-0.114060766733333,-0.0982414012,-0.193314633666667,39.7831140341333,1702,1,-0.216885965866667
28.3833333333333,0.24123501905,-0.114118880766667,-0.0980512108,-0.193552974333333,39.7831401108667,1703,1,-0.216859889133333
28.4,0.2424831464,-0.1141769948,-0.0978610204,-0.193791315,39.7831661876,1704,1,-0.2168338124
28.4166666666667,0.24373127375,-0.114235108833333,-0.09767083,-0.194029655666667,39.7831922643333,1705,1,-0.216807735666667
28.4333333333333,0.2449794011,-0.114293222866667,-0.0974806396,-0.194267996333333,39.7832183410667,1706,1,-0.216781658933333
28.45,0.24622752845,-0.1143513369,-0.0972904492,-0.194506337,39.7832444178,1707,1,-0.2167555822
28.4666666666667,0.2474756558,-0.114409450933333,-0.0971002588,-0.194744677666667,39.7832704945333,1708,1,-0.216729505466667
28.4833333333333,0.24872378315,-0.114467564966667,-0.0969100684,-0.194983018333333,39.7832965712667,1709,1,-0.216703428733333
28.5,0.2499719105,-0.114525679,-0.096719878,-0.195221359,39.783322648,1710,1,-0.216677352
28.5166666666667,0.25122003785,-0.114583793033333,-0.0965296876,-0.195459699666667,39.7833487247333,1711,1,-0.216651275266667
28.5333333333333,0.2524681652,-0.114641907066667,-0.0963394972,-0.195698040333333,39.7833748014667,1712,1,-0.216625198533333
28.55,0.25371629255,-0.1147000211,-0.0961493068,-0.195936381,39.7834008782,1713,1,-0.2165991218
28.5666666666667,0.2549644199,-0.114758135133333,-0.0959591164,-0.196174721666667,39.7834269549333,1714,1,-0.216573045066667
28.5833333333333,0.25621254725,-0.114816249166667,-0.095768926,-0.196413062333333,39.7834530316667,1715,1,-0.216546968333333
28.6,0.2574606746,-0.1148743632,-0.0955787356,-0.196651403,39.7834791084,1716,1,-0.2165208916
28.6166666666667,0.25870880195,-0.114932477233333,-0.0953885452,-0.196889743666667,39.7835051851333,1717,1,-0.216494814866667
