ERR	t	f1	f2	f3	L	R_Hi	SaO2sup	XOv	O2c	CBF	P_a	u	J_O2	CMRO2	Vmca	TOI	HHb	HbO2	HbT	CCO	Pa_CO2	r	v_p	v_u	v_c	v_o	eta	mu	Dpsi	H	O2	a	bred	t
1	100	0.50759534857132227	0.50759534849091026	0.50759534794752814	10.151906972916347	240278.95311774593	0.95999999999999996	6.0338402451524331	0.0645545826297758	0.012585816605007155	100	1	0.034008888048883759	0.034008888312484387	62.929083025035773	73.748515376461683	23.909316542755647	67.168642992216405	91.077959534972052	-0.0034854198626405181	40	0.018732013110057264	100	1	40	0.064554303417344208	0.00383607527698826	0.0019180352864282939	145.00327754818298	3.9809907925279437e-05	0.024154389818564062	0.065617978808020297	0.0014018856409617959	100
1	200	0.50752764121686067	0.50752764130897776	0.50752764131121242	10.150552823879874	240301.25229872906	0.95999999999999996	6.0279987192477869	0.064500454288163853	0.01255699260682153	100	0.98999999999999999	0.034004352069912654	0.034004351967851232	62.784963034107648	73.694006435144388	23.952081777246846	67.099722512884341	91.051804290131187	-0.0042990922973321077	40	0.018721278887253636	100	0.99000000000005262	40	0.064500554542621463	0.0075839589572945787	0.0037919613036572113	145.13479432032176	3.9806213694253778e-05	0.024105649904376057	0.065605834443323408	0.0014036175217871372	200
1	300	0.50745991013021841	0.50745991029235704	0.50745991014483494	10.149198202298933	240323.79103076077	0.95999999999999996	6.0221531972998008	0.06444640430793587	0.012528273116029373	100	0.97999999999999998	0.033999814084589623	0.03399981397970394	62.641365580146868	73.639449200619268	23.994879580391455	67.030834423107862	91.025714003499317	-0.0051128992621985864	40	0.018710565188289129	100	0.98000000000032461	40	0.06444650033274188	0.011324729648897414	0.0056623043089359722	145.26770742868257	3.9802480474251696e-05	0.024056990734978502	0.06559368807071346	0.0014053521529645945	300
1	400	0.50739202870458	0.50739202879530021	0.5073920288030016	10.147840573606858	240346.57082335354	0.95999999999999996	6.0162928108781113	0.064392333033177582	0.012499605166775271	100	0.96999999999999997	0.033995266035368593	0.033995265929801108	62.498025833876355	73.584742355302055	24.0377895463713	66.961851152556889	90.999640698928189	-0.0059283614184004463	40	0.018699852330624798	100	0.97000000000003117	40	0.064392436919170154	0.015065285934561523	0.0075325005013440246	145.40203403414509	3.9798708037446064e-05	0.024008322226261269	0.065581516993755223	0.0014070927888933636	400
1	500	0.50732400601781735	0.50732400617087203	0.50732400604471928	10.146480120025204	240369.59840335077	0.95999999999999996	6.0104183555018329	0.064338247876124688	0.0124709925503078	100	0.95999999999999996	0.033990708508879711	0.033990708404996191	62.354962751538999	73.529893227146374	24.080805849293085	66.89278203962742	90.973587888920505	-0.0067453687661576806	40	0.018689141760146185	100	0.96000000000027486	40	0.064338343741105614	0.018805148836004315	0.0094022973389293954	145.53780439841984	3.9794895292659675e-05	0.02395965109358425	0.065569322854236459	0.0014088392062891028	500
1	600	0.50725583152844556	0.50725583162031873	0.50725583162800658	10.145116630086275	240392.87736102662	0.95999999999999996	6.0045289210459698	0.064284141137712345	0.012442431143925969	100	0.94999999999999996	0.033986140824374331	0.033986140719076442	62.212155719629841	73.474893311755153	24.123935167504115	66.823616716217941	90.947551883722056	-0.0075640469635875618	40	0.018678431962588421	100	0.95000000000002205	40	0.064284244629447415	0.022544873510625896	0.011271959324885394	145.67504821670141	3.9791041668985786e-05	0.023910970446564629	0.065557103776662878	0.0014105916990866565	600
1	700	0.5071875152611951	0.50718751542125262	0.50718751528003958	10.143750304907543	240416.41477285299	0.95999999999999996	5.998625384220353	0.064230020969879328	0.01241392511451701	100	0.93999999999999995	0.033981563628314462	0.033981563523762651	62.069625572585046	73.419750701297446	24.167171080196155	66.754365466023572	90.921536546219727	-0.0083842746709116289	40	0.018667724529630794	100	0.9400000000002946	40	0.064230116830272743	0.026283929889923008	0.013141208408861045	145.8137977349752	3.9787146019282966e-05	0.023862287669189301	0.065544861572075952	0.0014123500198697015	700
1	800	0.50711904734168245	0.50711904743695402	0.50711904744205361	10.142380946351862	240440.21453889625	0.95999999999999996	5.9927068925085987	0.064175880240449928	0.012385470653481218	100	0.93000000000000005	0.033976976283010128	0.033976976178617592	61.92735326740609	73.364457427225588	24.21051984481872	66.685018621011366	90.895538465830086	-0.0092061694848784847	40	0.018657018060402986	100	0.9300000000000489	40	0.064175982481030291	0.030022833681228711	0.015010289371496172	145.95408469304209	3.9783207723151412e-05	0.023813596386813862	0.065532594485300327	0.0014141144463791623	800
1	900	0.50705043650354609	0.50705043667723337	0.50705043650618042	10.141008729785584	240464.28412950793	0.95999999999999996	5.9867742123611611	0.064121726025601025	0.01235707134043432	100	0.92000000000000004	0.033972379351908888	0.033972379245914092	61.785356702171605	73.309020550658332	24.253975846422989	66.615585131869295	90.869560978292284	-0.01002962560219138	40	0.018646313931464487	100	0.92000000000033433	40	0.064121822041051407	0.03376112967095124	0.016878961626374249	146.09594327589059	3.9779225570348214e-05	0.023764903006278718	0.065520304095489687	0.001415884763396524	900
1	1000	0.50698167455257692	0.50698167465613408	0.50698167465726884	10.13963349054448	240488.6277753131	0.95999999999999996	5.9808266360323916	0.06406755258701663	0.012328724115415315	100	0.91000000000000003	0.033967772305922253	0.033967772202037012	61.643620577076575	73.253433458717026	24.297544283788966	66.546057067008803	90.843601350797769	-0.010854740404501434	40	0.018635611019813092	100	0.91000000000007697	40	0.064067653491917301	0.037499236752700116	0.018747421553801932	146.2394075383302	3.9775198887728557e-05	0.023716202417788167	0.065507988949186552	0.0014176612068891171	1000
