ERR	t	f1	f2	f3	L	R_Hi	SaO2sup	XOv	O2c	CBF	P_a	u	J_O2	CMRO2	Vmca	TOI	HHb	HbO2	HbT	CCO	Pa_CO2	r	v_p	v_u	v_c	v_o	eta	mu	Dpsi	H	O2	a	bred	t
1	100	0.50759534857132227	0.50759534849091026	0.50759534794752814	10.151906972916347	240278.95311774593	0.95999999999999996	6.0338402451524331	0.0645545826297758	0.012585816605007155	100	1	0.034008888048883759	0.034008888312484387	62.929083025035773	73.748515376461683	23.909316542755647	67.168642992216405	91.077959534972052	-0.0034854198626405181	40	0.018732013110057264	100	1	40	0.064554303417344208	0.00383607527698826	0.0019180352864282939	145.00327754818298	3.9809907925279437e-05	0.024154389818564062	0.065617978808020297	0.0014018856409617959	100
1	200	0.5068432573641708	0.50684325882351822	0.50684325903173	10.136865139501685	240267.19768243234	0.95999999999999996	5.9688490694555174	0.063958807151601807	0.012272008552661501	100	1	0.033958499888217253	0.033958498355125911	61.360042763307504	73.141455655819883	24.385294899801067	66.406278118135134	90.791573017936201	-0.012515218791125451	39	0.018614141697889372	100	1	39.000000027828449	0.063960303488827822	0.044998444433938418	0.022495426504285099	144.93394507055234	3.9811855685115031e-05	0.023618471969472303	0.065483205689684701	0.0014212438947515591	200
1	300	0.50607384429286351	0.50607384578163273	0.506073846000059	10.121476877880564	240255.1721029628	0.95999999999999996	5.9021411844806781	0.063361608395922739	0.011964939477259986	100	1	0.033906949214788283	0.033906947682003953	59.824697386299931	72.51699831990301	24.874251910718741	65.633517947376873	90.507769858095614	-0.021733796743420103	38	0.018496592548302247	100	1	38.000000019292713	0.063363102398788368	0.08608624237230561	0.043016558726606875	144.86301579783046	3.9813848402400491e-05	0.023082511827154675	0.065345614973978811	0.0014413246886324344	300
1	400	0.5052863215757315	0.50528632309415755	0.5052863233206405	10.105726423348209	240242.86410112228	0.95999999999999996	5.8336595674354994	0.0627629461276656	0.01166444322414608	100	1	0.033854185192791993	0.033854183662482912	58.322216120730403	71.874543749148955	25.376612988911702	64.849880628036587	90.226493616948289	-0.03114929340873919	37	0.018379348244325265	100	1	37.000000015661186	0.062764437179587657	0.12713993216377412	0.063484472552413865	144.79041706560292	3.9815888125500067e-05	0.02254652954593743	0.065205085173003899	0.0014621719734654161	400
1	500	0.50448046695174142	0.50448046850068962	0.5044804687356611	10.089609330672229	240230.27024698525	0.95999999999999996	5.7633985297573256	0.062163229492011092	0.011370576671981894	100	1	0.033800192932640062	0.033800191405289295	56.85288335990947	71.213971853636323	25.892426900257945	64.055469935689317	89.947896835947262	-0.040763002679172697	36	0.018262478852196343	100	1	36.000000013648581	0.062164718678767904	0.16816908495987193	0.083886936176051516	144.71612838441325	3.9817975437339965e-05	0.022010951958796227	0.065061596974937727	0.0014838167200234905	500
1	600	0.50365606034828714	0.50365606192857082	0.50365606217247572	10.073121198400731	240217.38714656397	0.95999999999999996	5.6913556809671872	0.061562869052045201	0.011083382541084819	100	1	0.033744957689380801	0.033744956165555874	55.416912705424096	70.535194402963214	26.421717406374988	63.250407934347315	89.672125340722303	-0.050576142520248391	35	0.018146053378194166	100	1	35.000000012605931	0.061564357371081097	0.20918326308272978	0.10421190283262376	144.64012946660404	3.9820110915467608e-05	0.021476207144793785	0.064915132201190329	0.0015062913583256871	600
1	700	0.50281288400181601	0.5028128856142573	0.50281288586756578	10.056257671262514	240204.21144373683	0.95999999999999996	5.6175321236698794	0.060962275756211527	0.010802889819241938	100	1	0.033688464872838893	0.033688463353126911	54.014449096209688	69.838157170652309	26.964481793516683	62.434836232502789	89.399318026019472	-0.060589852974795147	34	0.018030139626965102	100	1	34.000000012318353	0.060963764185544431	0.25019203941301743	0.12444753553208562	144.56240023737769	3.9822295131742639e-05	0.020942723384486855	0.064765673836197094	0.0015296298560787296	700
1	800	0.50195072333381896	0.50195072497925453	0.50195072524246354	10.039014457687244	240190.73983392559	0.95999999999999996	5.5419327056929912	0.060361860408999816	0.010529114451090945	100	1	0.033630700106243708	0.03363069859124506	52.645572255454724	69.122842629516867	27.52068898287046	61.608917906326958	89.129606889197419	-0.070805185273067311	33	0.017914804158785106	100	1	33.00000001268296	0.060363349915978477	0.29120498367574971	0.14458221452024905	144.48292091555692	3.9824528650079662e-05	0.020410928560968409	0.064613206189954225	0.0015538677802718079	800
1	900	0.50106936794655055	0.50106936962582904	0.5010693698994646	10.021387349719898	240176.96907973936	0.95999999999999996	5.4645662719019779	0.059762033143200409	0.010262060027257325	100	1	0.033571649292934554	0.03357164778326413	51.310300136286621	68.389272659854413	28.090277643619643	60.772839428492219	88.863117072111862	-0.081223089706477875	32	0.017800112246771409	100	1	32.000000013658365	0.059763524685379661	0.33223164996525623	0.16460454474854008	144.40167210537035	3.9826812023863272e-05	0.019881249552880922	0.064457715079007799	0.0015790423580537194	900
1	1000	0.50016861276444446	0.50016861447842431	0.50016861476304264	10.003372245848968	240162.89602879016	0.95999999999999996	5.3854459147905054	0.059163202903292744	0.010001718474197658	100	1	0.033511298692836138	0.033511297189123858	50.008592370988289	67.637511260810214	28.673154315654074	59.926812598917408	88.599966914571482	-0.091844401994574443	31	0.017686127835619313	100	1	31.000000015254752	0.059164697429947996	0.37328156472580731	0.18450336307752677	144.31863490167885	3.9829145793000903e-05	0.019354111626957288	0.064299188029931731	0.0016051925357459529	1000
1	1100	0.49924825933612582	0.49924826108567544	0.49924826138186529	9.9849651770468739	240148.51763405159	0.95999999999999996	5.3045892217011801	0.058565776940183986	0.0097480707414115061	100	1	0.033449635009696096	0.033449633512584974	48.74035370705753	66.867667243320369	29.26919155797416	59.071076460351115	88.340268018325276	-0.10266982801301738	30	0.017572913501679277	100	1	30.00000001753563	0.058567275396021107	0.4143642150322554	0.2042677452464518	144.23379101000344	3.9831530480551561e-05	0.018829937829127379	0.064137614507268403	0.0016323590349957579	1100
1	1200	0.49830811731381175	0.49830811908905981	0.49830811940406228	9.9661623363436576	240133.83097699791	0.95999999999999996	5.2220185154339021	0.05797016031560618	0.0095010874823769249	100	1	0.033386645490161251	0.033386644000072171	47.505437411884621	66.079896873001985	29.878226147044067	58.205899172914364	88.084125319958432	-0.11369992673417427	29	0.017460530413926725	100	1	29.000000020630676	0.057971663648087979	0.45548903712817662	0.22388701268922656	144.14712288283658	3.9833966588890446e-05	0.018309148371219525	0.063972986168146659	0.0016605844051817188	1200
1	1300	0.49734800610228125	0.49734800791399286	0.49734800824197822	9.9469601118620616	240118.83329334197	0.95999999999999996	5.1377610893318177	0.0573767554144749	0.0092607297257799349	100	1	0.03332231803445021	0.033322316552212544	46.303648628899673	65.274406467595895	30.500057316850587	57.331579854129743	87.831637170980329	-0.12493509152606654	28	0.017349038295315176	100	1	28.000000024760343	0.057378264586466082	0.49666540518848018	0.24335073927285891	144.05861387191763	3.9836454595438986e-05	0.017792160011847719	0.063805297141401998	0.0016899130695046749	1300
1	1400	0.4963677567411473	0.49636775859033661	0.49636775893191298	9.9273551243808686	240103.52200240057	0.95999999999999996	5.0518494238709106	0.056785961461905149	0.0090269495344488006	100	1	0.033256641322200561	0.033256639848438171	45.134747672244004	64.451454833487389	31.134445137926662	56.448450286035396	87.582895423962057	-0.13637552912246026	27	0.017238495384235841	100	1	27.000000030284987	0.056787477474425467	0.53790262030074409	0.26264875803701931	143.96824840136949	3.9838994947789081e-05	0.017279385423929882	0.063634544341455823	0.0017203913664791996	1400
1	1500	0.49536721396516437	0.49536721585297694	0.49536721620879987	9.9073442685945938	240087.89473930444	0.95999999999999996	4.9643213942554194	0.056198174042126334	0.0087996906485352123	100	1	0.033189604950709918	0.033189603485989594	43.998453242676064	63.61135561589559	31.781108963979563	55.556876558400745	87.337985522380308	-0.14802123697866143	26	0.017128958395256414	100	1	26.00000003780919	0.056199697978261007	0.57920989974514825	0.28177116804113422	143.87601215787637	3.984158805835057e-05	0.016771232549382103	0.063460727806288642	0.0017520675809950769	1500
1	1600	0.49434623910015496	0.49434624103960162	0.49434624140370453	9.8869247710449493	240071.94940013156	0.95999999999999996	4.8752205085401341	0.055613784954444037	0.0085788892374960238	100	1	0.033121199627651553	0.033121198174048204	42.894446187480121	62.75447995115335	32.439725655231477	54.657261076830572	87.096986732062049	-0.15987197145426979	25	0.017020482541596212	100	1	25.000000040837076	0.055615316670283091	0.6205963425245915	0.30070833043591205	143.78189235771461	3.9844234296848504e-05	0.016268104226147592	0.063283851172324337	0.0017849919463116166	1600
1	1700	0.4933047117009608	0.49330471367844481	0.49330471405786752	9.8660942227978854	240055.68416519411	0.95999999999999996	4.7845959884439351	0.055033181183144667	0.0083644742947283929	100	1	0.033051417282771937	0.033051415841877124	41.822371473641965	61.881257613549501	33.10992896702777	53.750043041904135	86.859972008931905	-0.17192723123821924	24	0.016913121392697017	100	1	24.00000004005004	0.055034720251514506	0.66207095706296371	0.31945089335254145	143.68587789760329	3.9846933986439253e-05	0.015770397025412441	0.063103921921817629	0.0018192166825518506	1700
1	1800	0.49224253256612371	0.49224253458127115	0.49224253497604942	9.8448506398417699	240039.09755283644	0.95999999999999996	4.6925029335628485	0.054456744575789896	0.0081563682939953287	100	1	0.032980251269743681	0.032980249843395315	40.781841469976641	60.992178952542091	33.791308325005332	52.835699843161677	86.627008168167009	-0.18418622539106766	23	0.016806926863878188	100	1	23.000000033225284	0.054458290590965699	0.70364263937889637	0.33798979367187038	143.58795963238151	3.9849687394756537e-05	0.015278500690112847	0.062920951859834817	0.0018547959810491677	1800
1	1900	0.49115962611477237	0.49115962816841097	0.49115962857995998	9.8231925105442883	240022.18845251336	0.95999999999999996	4.5990023669045126	0.053884850997889332	0.007954487636875807	100	1	0.032907696526437796	0.032907695114857319	39.772438184379034	60.087795689089774	34.483408482049697	51.91474736378882	86.398155845838517	-0.1966478494993342	22	0.016701949110091908	100	1	22.000000032709952	0.053886405433242419	0.74532018860888327	0.35631627560080709	143.48813059416622	3.9852494728388251e-05	0.01479279709921546	0.062734957470159197	0.0018917860050171409	1900
1	2000	0.49005594630127014	0.49005594839292888	0.49005594882072612	9.8011189140086827	240004.95621089681	0.95999999999999996	4.504161532345841	0.053317871196941813	0.0077587436799278556	100	1	0.032833749965974497	0.032833748570988655	38.793718399639275	59.168724140149045	35.185727313238239	50.987742832562581	86.17347014580082	-0.20931062198614797	21	0.016598236733156142	100	1	21.000000026950879	0.053319433594471687	0.78711219720899539	0.37442185447513471	143.3863865385521	3.9855356118540456e-05	0.014313660667217523	0.062545960865878394	0.0019302447548093875	2000
1	2100	0.4889314776222351	0.48893148032919836	0.48893147945181747	9.7786295416353326	239987.40065683919	0.95999999999999996	4.4080537025711175	0.052756168598548432	0.0075690426454758583	100	1	0.032758410554151352	0.03275840912327177	37.84521322737929	58.235643651529273	35.897717232677763	50.055282816351422	85.953000049029185	-0.22217267792690587	20	0.016495836420599163	100	1	20.000000021154662	0.052757739347005311	0.82902715086320566	0.39229837340792628	143.28272604311107	3.9858271616841239e-05	0.013841456048280663	0.062353989881687978	0.0019702320629192936	2100
1	2200	0.49005742706417954	0.4900574254620465	0.49005742396801416	9.8011485543631061	240004.9793502792	0.95999999999999996	4.5042874578445442	0.053318615289859442	0.0077589971780029354	100	1	0.032833846069120036	0.032833847405856952	38.794985890014679	59.169945258230058	35.184794584017965	50.988968362283543	86.173762946301508	-0.20929365843483128	21	0.016598372308246758	100	1	20.999999976827102	0.053317069703596572	0.78705713153213042	0.37439818126878049	143.38652316005587	3.9855352276002155e-05	0.014314290596284689	0.06254621405321148	0.001930192765996093	2200
