ERR	t	f1	f2	f3	L	R_Hi	SaO2sup	XOv	O2c	CBF	P_a	u	J_O2	CMRO2	Vmca	TOI	HHb	HbO2	HbT	CCO	Pa_CO2	r	v_p	v_u	v_c	v_o	eta	mu	Dpsi	H	O2	a	bred
1	100	0.50843641332059653	0.50843641312617693	0.50843641158402519	10.168728267761251	240289.16225538688	0.95999999999999996	6.0305402770788277	0.064523990432976117	0.012591294095492618	100	1	0.034065239442588345	0.03406523957612969	62.956470477463093	73.722556022069725	23.934264981444088	67.14866150693824	91.082926488382327	0.015341105107148395	40	0.018734050873787145	100	1	40	0.064523761827427806	0.0031245883228857574	0.0015622928903807943	145.06348736621709	3.9808216526359623e-05	0.024056856086728789	0.065898971718017146	0.0014284228046134025
1	200	0.50844853384051958	0.50844853345891794	0.50844853303869364	10.168970678865932	240289.35441456738	0.95999999999999996	6.0315654019816192	0.064533490120851231	0.012596367210403272	99	1	0.034066051340558949	0.034066051713592477	62.981836052016362	73.761390453731522	23.931555830813167	67.275852811069683	91.20740864188285	0.015495610824935294	40	0.018785049266775041	99.00000010600418	1	40	0.064533103447110149	-0.036657788100417199	-0.018326841805372914	145.06462045659634	3.9808184691764685e-05	0.024065391296303171	0.065901277773506503	0.0014281202087730559
1	300	0.50846115432826577	0.50846115391213598	0.50846115400569225	10.169223088442907	240289.55448158228	0.95999999999999996	6.0326327782079101	0.064543384980734267	0.012601653467304073	98	1	0.034066896906315876	0.034066897318381383	63.008267336520362	73.800988786973448	23.928615832368166	67.405425890819032	91.334041723187198	0.015656495303298171	40	0.018836787190397469	98.000000248961669	1	40	0.064542992699564955	-0.076427405570475559	-0.038195112651775748	145.06580028427845	3.9808151547150069e-05	0.024074281682897773	0.065903679034377591	0.0014278052036956843
1	400	0.50847391666951247	0.50847391625804983	0.50847391624155147	10.169478335318846	240289.75679659689	0.95999999999999996	6.033712076526383	0.064553394262444289	0.012607003009935796	97	1	0.034067751980557053	0.03406775238818395	63.035015049678975	73.841076334170211	23.925669150024873	67.537073949294182	91.462743099319056	0.015819194150490962	40	0.018889224946898812	97.000000319128063	1	40	0.064553000897407717	-0.11619425503907144	-0.058031851030819356	145.06699337434685	3.9808118030170946e-05	0.024083275195901626	0.065906107375380468	0.001427486735747874
1	500	0.50848641078577939	0.50848641037359599	0.50848641035870212	10.169728217646348	240289.95486003277	0.95999999999999996	6.0347686157697478	0.064563196332984824	0.012612243915512404	96	1	0.034068589085565495	0.034068589494033047	63.061219577562021	73.881339258062837	23.922971738660138	67.670437184671272	91.59340892333141	0.015978479362195541	40	0.018942314590343762	96.000000314075749	1	40	0.0645628039168894	-0.1559658872848424	-0.077825246982276317	145.06816138908985	3.9808085217594004e-05	0.024092082843934264	0.06590848476659994	0.0014271750381210902
1	600	0.50849822174129899	0.50849822132850031	0.5084982213271676	10.16996443675041	240290.14209448587	0.95999999999999996	6.0357673161330494	0.06457246530363385	0.012617201706166033	95	1	0.034069380419734147	0.034069380828920234	63.086008530830163	73.921461524178454	23.920782398145661	67.805149330442504	91.725931728588165	0.016129060362388453	40	0.018996007175795047	95.000000299094481	1	40	0.064572074471978949	-0.19574992404522451	-0.097563623622257012	145.06926553831121	3.9808054199071977e-05	0.024100411764648534	0.065910732244214759	0.0014268804537025267
1	700	0.50850892995976271	0.50850892954704863	0.50850892955971716	10.170178601109944	240290.31184891518	0.95999999999999996	6.0366727143442995	0.064580871276639668	0.01262169951017425	94	1	0.034070097871299145	0.034070098280501053	63.108497550871249	73.96112512333039	23.9193626611046	67.940837806066696	91.860200467171296	0.016265586712528854	40	0.019050252804835365	94.000000286970106	1	40	0.064580482424576313	-0.23555405559868292	-0.11723545403037477	145.07026659783068	3.9808026076450341e-05	0.024107965455112308	0.065912769950933273	0.0014266134321567216
1	800	0.50851811169328442	0.50851811128149516	0.50851811130585389	10.170362235768177	240290.45740608554	0.95999999999999996	6.0374490017662037	0.064588080778183038	0.012625558338778748	93	1	0.034070713049124977	0.034070713457492213	63.127791693893741	74.000010495150349	23.918976512550316	68.077124132370457	91.996100644920773	0.016382654229308138	40	0.019105000708372566	93.00000027932532	1	40	0.064587694262939976	-0.2753860512614652	-0.13682938370771841	145.07112495347275	3.9808001962535476e-05	0.024114444168199987	0.065914517227303113	0.0014263845197907917
1	900	0.50852533916919307	0.50852533875919326	0.50852533879270378	10.170506785271929	240290.57198504367	0.95999999999999996	6.0380600342463815	0.06459375698004835	0.012628597276164003	92	1	0.03407119729244891	0.034071197699111155	63.14298638082002	74.037796688186205	23.919890317750628	68.213624047211454	92.133514364962082	0.016474807054588564	40	0.019160199290394406	92.000000275529871	1	40	0.064593373171111676	-0.31525375741389539	-0.15633424596424189	145.07180061479067	3.9807982980686323e-05	0.024119545122688022	0.065915892642605806	0.0014262043584953408
1	1000	0.50853018062816235	0.50853018022079377	0.50853018026124985	10.170603614434464	240290.64874153765	0.95999999999999996	6.0384693318273621	0.064597559874390226	0.012630633670465708	91	1	0.034071521673408295	0.034071522077503739	63.153168352328535	74.074161425120366	23.922372825670223	68.349947533715834	92.272320359386057	0.016536538409221188	40	0.01921579616520171	91.000000274891292	1	40	0.064597179162320023	-0.35516509430501819	-0.17573907587322662	145.07225321865269	3.9807970264747432e-05	0.02412296267501916	0.065916814006107785	0.0014260836883414382
