ERR	t	f1	f2	f3	L	R_Hi	SaO2sup	XOv	O2c	CBF	P_a	u	J_O2	CMRO2	Vmca	TOI	HHb	HbO2	HbT	CCO	Pa_CO2	r	v_p	v_u	v_c	v_o	eta	mu	Dpsi	H	O2	a	bred
1	100	0.50746268656716409	0.50746268656716254	0.50746268656716442	10.149253731343284	240274.06514618182	0.95999999999999996	6.0159999999999991	0.064389634427529707	0.012500000000000001	100	1	0.034000000000000002	0.034000000000000016	62.5	73.582417582417577	24.040000000000006	66.959999999999994	91	0	40	0.018700000000000001	100	1	40	0.064389634427529707	0	0	145.00000000000037	3.981071705535023e-05	0.024	0.065671641791044774	0.0014075855872397426
1	200	0.50748087725850588	0.50748086935589498	0.50748088214983178	10.149617547214683	240274.34899521669	0.95999999999999996	6.0175839820518684	0.064404236382143973	0.012507731880790168	99	1	0.034001218351052853	0.034001219104038728	62.538659403950838	73.626572733126849	24.033179944432504	67.093315301105164	91.126495245537669	0.00021724915670053024	40	0.018751916089538741	99.000000277105457	1	40	0.064403834489266801	-0.039669188891910956	-0.01983199380508658	145.00167407406701	3.9810670024808036e-05	0.024013154638331057	0.065674884315771648	0.0014071128741527125
1	300	0.50750125253843348	0.5075012514475814	0.50750125262440826	10.150025052741571	240274.66692674995	0.95999999999999996	6.0193581917006806	0.064420601588805998	0.012516402939183005	98	1	0.034002583492591429	0.034002583925835356	62.582014695915028	73.672862980519383	24.025046647564835	67.230780485433485	91.25582713299832	0.00046057910730329388	40	0.018804848205982147	98.000000127218556	1	40	0.064420204454394128	-0.07928784549925505	-0.039623167131354983	145.00354912430601	3.9810617347311502e-05	0.024027898151825874	0.065678516106079152	0.001406583511426026
1	400	0.50752349989966061	0.50752350097253807	0.50752349845033118	10.150469999964473	240275.01405453181	0.95999999999999996	6.0212953513222303	0.064438482112475257	0.012525883432013678	97	1	0.034004074060587065	0.034004074396172194	62.629417160068392	73.721037896132458	24.015802527021179	67.372139021426506	91.387941548447685	0.00072625560437097891	40	0.018858765741110832	97.000000074514986	1	40	0.064438085159985115	-0.11887130450034411	-0.05936576360637881	145.00559638470727	3.9810559832505766e-05	0.024044007984423573	0.065682481426930908	0.0014060056608737265
1	500	0.50754715807546302	0.50754715954417406	0.5075471563391174	10.150943163496995	240275.38318085071	0.95999999999999996	6.0233552812743474	0.064457509804478536	0.012535979673573894	96	1	0.034005659153355614	0.034005659474720867	62.67989836786947	73.770728090108406	24.005744388795904	67.516980570042321	91.522724958838225	0.0010087677703460723	40	0.018913614133688791	96.000000068336604	1	40	0.064457112276670656	-0.15842805522009773	-0.079048756716754501	145.00777339170295	3.9810498672992155e-05	0.024061152696501692	0.065686698026423074	0.0014053913366103283
1	600	0.50757174429339613	0.50757174394598703	0.50757174385672732	10.151434887895483	240275.76674324591	0.95999999999999996	6.0254959337591956	0.064477298417854711	0.012546487883490793	95	1	0.03400730642612064	0.034007306838400732	62.732439417453968	73.821548441818052	23.995182624741133	67.664870573636634	91.660053198377767	0.0013023487623097241	40	0.018969335003076231	95.000000093346387	1	40	0.064476900436073195	-0.19796707568849237	-0.098661528091386216	145.01003571175019	3.9810435121805679e-05	0.024078984464443114	0.065691079832273278	0.0014047531005337752
1	700	0.50759675401518189	0.50759675412601446	0.50759675322369235	10.151935082337534	240276.15693146529	0.95999999999999996	6.0276733733322612	0.064497442954736278	0.012557193692456042	94	1	0.034008982073638623	0.034008982465987388	62.785968462280209	73.873098042657787	23.984441330678763	67.815349436089249	91.799790766768012	0.0016009728164634168	40	0.019025865948415637	94.000000135155489	1	40	0.064497044375638107	-0.23749780734586345	-0.1181938627933159	145.01233690514312	3.9810370473015641e-05	0.024097138448657601	0.065695536907708407	0.0014041040641866727
1	800	0.50762165994578712	0.50762165949105853	0.50762165955096195	10.152433200965222	240276.54548547475	0.95999999999999996	6.0298416878110253	0.064517519100582038	0.012567871805794859	93	1	0.034010650768512993	0.034010651189914455	62.839359028974293	73.924959597185307	23.973858950811859	67.967931284051872	91.941790234863731	0.0018983435991893893	40	0.019083140395405245	93.000000157321324	1	40	0.064517120667970468	-0.27703011567691271	-0.13763593469703445	145.01462845641379	3.9810306095198924e-05	0.024115232301093158	0.06569997527759984	0.0014034579162113211
1	900	0.50764591397173187	0.50764591214620935	0.50764591453995289	10.152918281515891	240276.92384710402	0.95999999999999996	6.0319531620645241	0.064537084352086382	0.012578286497978501	92	1	0.034012275784510063	0.034012276274176849	62.891432489892509	73.976701146217806	23.963786980351117	68.122105415524928	92.085892395876044	0.0021879173934267609	40	0.019141087745583513	92.000000208428474	1	40	0.064536684163473523	-0.31657436879860956	-0.15697834694057367	145.01685993962431	3.9810243406317488e-05	0.024132867146654538	0.065704297274528756	0.001402828867726705
1	1000	0.50766894524633754	0.50766894501443538	0.50766894499716309	10.15337890712949	240277.28312415103	0.95999999999999996	6.0339581085641365	0.06455567648864742	0.012588190798984624	91	1	0.034013818876146462	0.034013819314809929	62.94095399492312	74.027874672311285	23.954591191709071	68.277333956793242	92.231925148502313	0.0024628802802572625	40	0.019199633015242509	91.000000312891231	1	40	0.064555273486212553	-0.35614131379823299	-0.17621207011868514	145.01897884338962	3.9810183879646996e-05	0.024149626197713155	0.065708401198212793	0.0014022317017473431
1	1100	0.50769015545150098	0.50769013891968484	0.50769016645668563	10.153803111242686	240277.61395592458	0.95999999999999996	6.0358044597695244	0.064572810543681719	0.012597324988180196	90	1	0.034015239974473158	0.034015241152597943	62.986624940900981	74.078012604556235	23.946654617740791	68.433047032564872	92.379701650305662	0.002716091419998734	40	0.019258696189132115	90.000000061749276	1	40	0.064572421588046144	-0.39574184723592787	-0.19532832919955964	145.02093013945091	3.9810129066074526e-05	0.024165072086809191	0.065712180468955203	0.0014016819053925859
1	1200	0.50770894268928424	0.50770894334640904	0.5077089415187529	10.154178855790438	240277.90700646257	0.95999999999999996	6.0374398323553393	0.064587995565724088	0.012605425315357377	89	1	0.034016498718350975	0.034016499081756447	63.027126576786884	74.126646690435038	23.940362386293558	68.588665837671485	92.529028223965042	0.0029403682276222254	40	0.019318195465106432	89.000000123138079	1	40	0.064587608186197035	-0.43538806272478769	-0.21431910282184313	145.02265846850798	3.9810080512383632e-05	0.02417876180870265	0.06571552788399436	0.0014011950238566222
1	1300	0.50772466919149239	0.50772466525840532	0.50772467126976772	10.154493385894082	240278.15230991741	0.95999999999999996	6.0388087390445353	0.064600713913042687	0.012612213688605786	88	1	0.034017552392470819	0.034017552975074437	63.06106844302893	74.173283087654909	23.936122219467421	68.743571838068902	92.679694057536324	0.0031281007774726366	40	0.019378043216491558	88.000000249142772	1	40	0.064600323754670022	-0.47509183993341875	-0.23317643274834043	145.02410518633064	3.9810039869692922e-05	0.024190228464476951	0.065718329862350336	0.0014007875532253378
1	1400	0.50773668047132869	0.50773667994930705	0.50773668014561335	10.154733611440923	240278.33965032385	0.95999999999999996	6.0398542291720503	0.064610431575736163	0.012617402785124167	87	1	0.03401835715119568	0.034018357569756096	63.087013925620838	74.217416922052479	23.934352302667222	68.897123233772945	92.831475536440166	0.003271479685898554	40	0.019438147811571892	87.000000247638894	1	40	0.064610044028464542	-0.51486539965389178	-0.25189268661971254	145.02521010792717	3.9810008830569814e-05	0.024198990129796913	0.065720469846058185	0.0014004763933916577
1	1500	0.50774430268400361	0.50774430438058005	0.5077443008043353	10.154886055599821	240278.45854109764	0.95999999999999996	6.0405176763481734	0.064616600137506974	0.012620697768088489	86	1	0.034018867855291991	0.034018868153890471	63.103488840442445	74.258530967615826	23.935482921463944	69.048654430416804	92.984137351880747	0.0033624644995893516	40	0.019498414126078351	86.00000005564435	1	40	0.064616227814324009	-0.55472135186773286	-0.27046057085108782	145.02591126548558	3.9809989132414157e-05	0.024204552010633883	0.065721827828352078	0.0014002789585485867
1	1600	0.50774685482072479	0.50774685302383116	0.50774685542853615	10.154937098338289	240278.49834018992	0.95999999999999996	6.0407398165197863	0.064618665993003116	0.012621801456394717	85	1	0.034019038855067955	0.034019039313711925	63.109007281973589	74.296105168623768	23.939948856282641	69.197488148243337	93.137437004525978	0.0033929285575898804	40	0.019558745376640353	85.000000151609626	1	40	0.064618296080375864	-0.59467316637526813	-0.28887333444587593	145.02614603243148	3.9809982538391201e-05	0.024206414730293595	0.065722282515784922	0.001400212856946496
1	1700	0.50774362932176309	0.50774362897142655	0.50774362891596181	10.154872588331001	240278.44801649367	0.95999999999999996	6.0404590674558882	0.064616055202839057	0.012620406664469227	84	1	0.034018822749531705	0.034018823137369446	63.102033322346131	74.329601242401353	23.948201662039139	69.342915036918541	93.29111669895768	0.0033544267541519152	40	0.019619039976578167	84.000000324343404	1	40	0.064615684734281476	-0.63473399253596618	-0.30712420860225209	145.02584932625726	3.9809990876159259e-05	0.024204060658470923	0.065721707862002265	0.0014002964001947693
1	1800	0.50773390233696658	0.50773390168906918	0.50773390215875303	10.154678048586941	240278.29629742668	0.95999999999999996	6.0396124199186563	0.064608183650275111	0.012616202254799884	83	1	0.034018171053196711	0.034018171444636452	63.081011273999422	74.358471146657834	23.960703193494055	69.484205378605253	93.444908572099308	0.0032383172747491168	40	0.019679193652043042	83.000000261689067	1	40	0.064607821419610884	-0.67491717626549563	-0.32520664266424987	145.02495454989975	3.9810016013403629e-05	0.024196963275810748	0.065719974884697746	0.001400548358655083
1	1900	0.50771694168780512	0.50771694136119638	0.50771694131040901	10.154338835519788	240278.03173893699	0.95999999999999996	6.0381361120179724	0.064594463789760304	0.012608877289459265	82	1	0.034017034707304293	0.034017035067797408	63.044386447296326	74.382163270502943	23.977920686124676	69.62061747036168	93.598538156486356	0.0030358555855339447	40	0.019739100826734416	82.000000216283169	1	40	0.0645941145262309	-0.71523648941581186	-0.34311439673840377	145.02339432244173	3.9810059846282796e-05	0.024184593315154119	0.065716953068440803	0.0014009877614932806
1	2000	0.50769200585908658	0.50769201369466987	0.50769199970565659	10.153840118795442	240277.64279222113	0.95999999999999996	6.0359655404312411	0.064574305194418272	0.012598122029176113	81	1	0.034015364017446877	0.034015363980278997	62.990610145880567	74.400121701793722	24.00032743645022	69.751397305662579	93.751724742112799	0.0027381812605890565	40	0.019798654771783924	81.00000034858553	1	40	0.064573962241890562	-0.75570594519115863	-0.3608414457449538	145.02110036995299	3.9810124288363611e-05	0.02416641938312334	0.065712510168068491	0.0014016339399138835
1	2100	0.50765833442764285	0.50765834086161998	0.50765832929755172	10.153166690107255	240277.11756184828	0.95999999999999996	6.0330344224656764	0.064547109114171691	0.012583625921631482	80	1	0.034013108048313978	0.034013108062935969	62.918129608157415	74.411778767036324	24.02840897705309	69.875769661588777	93.904178638641866	0.0023362024885282551	40	0.019857746547393373	80.000000367907973	1	40	0.064546777205906389	-0.79633923818268126	-0.37838172917237684	145.01800264712855	3.9810211310743731e-05	0.024141903237246104	0.065706510484903405	0.0014025068018106359
1	2200	0.5076151638790225	0.50761516883618363	0.50761515982807204	10.152303279070637	240276.44411522869	0.95999999999999996	6.0292761599547209	0.064512281269848065	0.012565085093328569	79	1	0.034010215640667946	0.034010215708480826	62.825425466642848	74.416567363199363	24.06265312154909	69.992954908688532	94.055608030237622	0.0018207833232607579	40	0.019916267658742499	79.000000370122748	1	40	0.064511962512220411	-0.83715026988504937	-0.39572938133790314	145.01403077382068	3.9810322890771609e-05	0.024110511371964793	0.065698817661541203	0.0014036264273186033
