ERR	t	rx	Gx	xBF	P_vx	HbO2x	HbTx	HHbx	TOIx	ry	Gy	yBF	P_vy	yFlux	HbO2y	HbTy	HHby	TOIy	f1	f2	f3	L	R_Hi	SaO2sup	XOv	O2c	CBF	P_a	u	J_O2	CMRO2	Vmca	TOI	HHb	HbO2	HbT	CCO	Pa_CO2	r	v_p	v_u	v_c	v_o	eta	mu	Dpsi	H	O2	a	bred
1	100	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	66.959999999999994	91	24.040000000000006	73.582417582417577	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	1	66.959999999999994	91	24.040000000000006	73.582417582417577	0.50843633915275666	0.50843633915275444	0.50843633915275621	10.168726783055131	240289.16108418521	0.95999999999999996	6.0305340306242003	0.064523932782570237	0.012591263430711049	100	1	0.034065234723234694	0.034065234723234666	62.95631715355524	73.722497786828569	23.934310717708939	67.148587967052705	91.082898684761645	0.015340159231245126	40	0.018734039467570709	100	1	40	0.064523932782570237	0.0031285708383315125	0.0015642841432373081	145.06348042571719	3.9808216720390219e-05	0.024056804042586699	0.065898957600466351	0.0014284246526665527
1	200	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	65.594999999999999	91	25.405000000000001	72.082417582417577	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	1	65.594999999999999	91	25.405000000000001	72.082417582417577	0.4989945345027722	0.49899454952213329	0.49899455212698829	9.9798906145040469	240139.53963462132	0.90000000000000002	5.767903418877629	0.05796933998158494	0.013803184741934014	100	1	0.033432646514605646	0.033432634992508217	69.015923709670062	70.288179503896401	27.381374613557128	64.775127937836245	92.156502551393373	-0.10339086104592515	40	0.019169418040427006	100	1	40	0.057986741282637304	-0.14915971806220235	-0.074441891061474752	144.18081037944415	3.9833019645803169e-05	0.018253682020710014	0.064126852820210078	0.0016841501412551813
1	400	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	66.959999999999994	91	24.040000000000006	73.582417582417577	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	1	66.959999999999994	91	24.040000000000006	73.582417582417577	0.5084363448062188	0.50843634478969868	0.5084363447417406	10.168726896234158	240289.16096678525	0.95999999999999996	6.0305345058029109	0.064523937181770255	0.012591265772923162	100	1	0.034065235082626114	0.034065235097696621	62.956328864615813	73.722502218990826	23.934307238815592	67.148593569620516	91.082900808436108	0.015340231333142801	40	0.018734040338791683	100	1	40	0.064523919724870746	0.0031282666504073298	0.0015641320496474322	145.06348097684091	3.9808216739839633e-05	0.024056808014854714	0.065898958676614078	0.0014284245118356073
1	500	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	65.822500000000005	91	25.177499999999995	72.332417582417591	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	1	65.822500000000005	91	25.177499999999995	72.332417582417591	0.50062326613899888	0.50062327838515452	0.50062328025181557	10.012465261974638	240165.34298596822	0.91000000000000003	5.8166000580175989	0.058985515070946355	0.013610521992765485	100	1	0.033541769608993403	0.033541759776871648	68.052609963827422	70.9073969988317	26.762016279334475	65.227058325848731	91.989074605183205	-0.083139814532739026	40	0.019102174087975422	100	1	40	0.058999350326087628	-0.12557030683662657	-0.062702784116351523	144.33307287364099	3.9828739988345731e-05	0.019140226466250191	0.064429107245780021	0.0016373768268053068
1	700	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	66.959999999999994	91	24.040000000000006	73.582417582417577	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	1	66.959999999999994	91	24.040000000000006	73.582417582417577	0.5084363436595265	0.5084363436496262	0.50843634355812739	10.168726873297915	240289.16086388085	0.95999999999999996	6.0305344095713975	0.06452393628701264	0.012591265296080857	100	1	0.034065235009769192	0.034065235018394535	62.956326480404286	73.72250132084929	23.934307943257934	67.148592432827186	91.082900376085121	0.015340216715232377	40	0.018734040161423035	100	1	40	0.064523922383213139	0.0031283285782878201	0.00156416301351184	145.06348087866988	3.9808216756887594e-05	0.024056807206646054	0.06589895845843631	0.0014284245403016452
1	800	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	66.049999999999997	91	24.950000000000003	72.582417582417577	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	1	66.049999999999997	91	24.950000000000003	72.582417582417577	0.50222763248245617	0.50222764203191694	0.50222764345022419	10.044552602669173	240190.76301271378	0.92000000000000004	5.8634917977424692	0.060031025536397303	0.013414052262891021	100	1	0.033649260126134062	0.033649252111165026	67.070261314455109	71.50947179612885	26.159180588823787	65.65793280982993	91.817113398653717	-0.063098399721891865	40	0.019032862135565369	100	1	40	0.060041538553556942	-0.10129182855199775	-0.050602656255889306	144.48305757010743	3.9824524806949719e-05	0.020058045676061807	0.064728232839971769	0.0015923290827043824
1	1000	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	66.959999999999994	91	24.040000000000006	73.582417582417577	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	1	66.959999999999994	91	24.040000000000006	73.582417582417577	0.5084363434949688	0.50843634348521549	0.50843634342091715	10.168726869987406	240289.16095330694	0.95999999999999996	6.0305343957365638	0.064523936160813616	0.012591265229195098	100	1	0.034065234999535281	0.034065235009201451	62.956326145975488	73.722501192096829	23.934308044593394	67.148592270846677	91.082900315440071	0.01534021461122731	40	0.018734040136543874	100	1	40	0.064523922756105315	0.0031283372650627861	0.0015641673568886952	145.06348085337524	3.9808216742072555e-05	0.024056807092604198	0.06589895842703325	0.0014284245444223128
1	1100	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	66.277500000000003	91	24.722499999999997	72.832417582417577	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	1	66.277500000000003	91	24.722499999999997	72.832417582417577	0.50380943049516169	0.50380943744312212	0.50380943844402104	10.076188576033816	240215.82822587917	0.93000000000000005	5.9084583008812102	0.061106791879126668	0.013213813842615928	100	1	0.033755238465108729	0.033755232375749414	66.069069213079644	72.093248404039599	25.573901442179974	66.066651397663563	91.640552839843537	-0.043247813651724629	40	0.018961432716495683	100	1	40	0.061114230635591529	-0.076302742383744182	-0.038132871843791709	144.63093244252875	3.982036933471931e-05	0.021007917125602238	0.065024510244004116	0.0015489539523736735
1	1300	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	66.959999999999994	91	24.040000000000006	73.582417582417577	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	1	66.959999999999994	91	24.040000000000006	73.582417582417577	0.50843634221272205	0.50843634220495248	0.50843634215960876	10.168726844321171	240289.16107031537	0.95999999999999996	6.0305342878700605	0.064523935162750762	0.012591264697793488	100	1	0.034065234917765905	0.034065234924693787	62.956323488967435	73.722500186050524	23.934308834319381	67.148590999300964	91.082899833620345	0.01534019825916956	40	0.018734039938881068	100	1	40	0.064523925718647235	0.0031284062794766365	0.001564201864011245	145.06348071875104	3.9808216722688009e-05	0.024056806191677677	0.065898958182972686	0.0014284245764054875
1	1400	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	66.504999999999995	91	24.495000000000005	73.082417582417577	0.015255032023233297	5.7666666666666675e-05	0.0057666666666666673	0	1	66.504999999999995	91	24.495000000000005	73.082417582417577	0.5053703804853078	0.50537038539360113	0.50537037875703295	10.107407590669251	240240.56562672634	0.93999999999999995	5.9513740981454957	0.06221367883938022	0.013009867805043991	100	1	0.03385981993221477	0.033859815376721211	65.04933902521995	72.657517380633735	25.007254810270851	66.452087629097093	91.459342439367944	-0.02356978583428819	40	0.018887841263304967	100	1	40	0.062218326614962446	-0.050582081227943443	-0.025285649633724566	144.77685834212585	3.9816269059499154e-05	0.021990568579258504	0.065318212151727048	0.0015072046243077807
