ERR	t	rx	Gx	xBF	P_vx	HbO2x	HbTx	HHbx	TOIx	ry	Gy	yBF	P_vy	yFlux	HbO2y	HbTy	HHby	TOIy	f1	f2	f3	L	R_Hi	SaO2sup	XOv	O2c	CBF	P_a	u	J_O2	CMRO2	Vmca	TOI	HHb	HbO2	HbT	CCO	Pa_CO2	r	v_p	v_u	v_c	v_o	eta	mu	Dpsi	H	O2	a	bred
1	-35.213999999999999	0.014558883840817641	4.7839284745692751e-05	0.0033220986666666666	0	65.012187709569474	88.971028864134894	23.95884115456542	73.071187935623087	0.016626749827644879	8.1377023905011668e-05	0.0056510565333333339	0	0.97995200000000005	71.064249445880137	95.275259839458485	24.211010393578348	74.588355429967251	0.50716201237248182	0.50716201237248137	0.50716201237248182	10.143240247449624	240268.96172118981	0.95999999999999996	5.9223897901447966	0.063541388802166504	0.012076958887174697	69.442899999999995	1	0.033979854828956248	0.033979854828956282	60.384794435873488	73.865062108841002	24.915428421147794	70.418367759696622	95.333796180844416	-0.00087409990019175765	40	0.020403547080633452	69.442899999999995	1	40	0.063541388802166532	-1.2420444544482516	-0.5518393613175534	144.94434964366371	3.9811563389115026e-05	0.023175685436223181	0.065656953732832965	0.0014606341218654632
1	-32.213999999999999	0.014567825348003853	4.795691726222562e-05	0.0033424930666666663	0	65.036629247887262	88.996488799882556	23.959859551995294	73.077747363863509	0.016666156800910287	8.2151256024278919e-05	0.0057257642766666674	0	0.99290710000000004	71.187375845064977	95.403516505276031	24.216140660211053	74.617140387197523	0.50730876977971717	0.50730775592689081	0.50730762078564684	10.146180253578127	240271.29173284481	0.95999999999999996	5.9347051816365717	0.063651364961732793	0.012133188825858971	69.697829999999996	1	0.033988638988876718	0.033989610592638338	60.665944129294857	73.964319255438454	24.823473259490171	70.520579784620907	95.344053044111078	0.00099176203371609262	40	0.02040741021306194	69.557921445078094	1	40	0.063560410459040206	-1.2370004743077485	-0.55008294377106437	144.95809200736969	3.9811177319659826e-05	0.023275226624967685	0.065684802418413679	0.0014569069817670967
1	-29.213999999999999	0.01455784454387128	4.7825626034081979e-05	0.0033197402666666669	0	65.009347773176231	88.968070597058571	23.95872282388234	73.070425532331981	0.0167317584314573	8.3452374195076414e-05	0.0057927147000000016	0	1.0045170000000001	71.392993489170905	95.61770155121971	24.224708062048805	74.665038304573429	0.50709661392078265	0.50709719747887005	0.50709727559646289	10.1419294788658	240267.92291907905	0.95999999999999996	5.9169216739237118	0.063492712430676515	0.012052192152512726	69.413420000000002	1	0.033976073646693528	0.033975517464963016	60.260960762563634	73.816997112128107	24.955571725079992	70.356535262616021	95.312106987696012	-0.0017055234123021373	40	0.020395375679846756	69.492724075260966	1	40	0.063549022326157834	-1.2398736633434502	-0.55108404555964063	144.9382227657471	3.9811735515030041e-05	0.02313150084618305	0.065644544426682064	0.0014622954795438636
1	-26.213999999999999	0.014538976497826589	4.7578165413877295e-05	0.0032773562666666661	0	64.957825044306432	88.914401087819201	23.956576043512769	73.056585040873998	0.016780905089638854	8.443721066537057e-05	0.005816340733333333	0	1.0086139999999999	71.547564954963434	95.778713494753589	24.231148539790155	74.700904140754147	0.506814221306775	0.506816682027599	0.50681701424458669	10.13627260056799	240263.43981664322	0.95999999999999996	5.8931832888752593	0.063282482896160216	0.01194557073034677	68.883619999999993	1	0.033959067958880318	0.033956739954387312	59.727853651733852	73.627808897728841	25.133201716293044	70.168707855144049	95.301909571437093	-0.005292831834472142	40	0.020391532672872532	69.217903406865247	1	40	0.063502887554010165	-1.251941230739585	-0.55527143322181471	144.91178102528909	3.9812478366662394e-05	0.022941472885606884	0.065591002509933258	0.0014695060745435332
1	-23.213999999999999	0.014530333840242503	4.746513537198737e-05	0.0032582114666666667	0	64.93424696511579	88.889840588662281	23.955593623546491	73.050245714354475	0.016783613488196347	8.4491735731628752e-05	0.0057998769000000014	0	1.0057590000000001	71.556096336858417	95.787600350894181	24.231504014035764	74.702880200287254	0.50678891657415748	0.50679121644218617	0.50679153099818919	10.135767273936787	240263.03934721611	0.95999999999999996	5.8909987360681431	0.063263224762221404	0.011935744371258303	68.644310000000004	1	0.033957207047306551	0.03395503257687868	59.678721856291517	73.619746734610544	25.151140938697992	70.189645541528705	95.340786480226697	-0.0056136262815427163	40	0.020406179977806093	68.959104739616421	1	40	0.063460782375304434	-1.2632740459904503	-0.55917840330056834	144.90941899537518	3.9812544725934496e-05	0.022924425385143551	0.065586214533111309	0.0014701610493268609
1	-20.213999999999999	0.014536609104307527	4.7547184214485406e-05	0.0032720954666666663	0	64.951365151498862	88.90767203281132	23.956306881312457	73.05484854842291	0.016757812691953825	8.397338907855219e-05	0.0057788689333333337	0	1.002116	71.474880444478856	95.703000462998801	24.228120018519945	74.684053894541009	0.50700009852678152	0.50700064480817719	0.5070007181268652	10.139999347974447	240266.39327214539	0.95999999999999996	5.9086958822009379	0.06341966467494238	0.012014826131315871	68.817859999999996	1	0.033969567388311202	0.033969048114499974	60.074130656579356	73.771362012345932	25.020539796885728	70.373433037933225	95.393972834818953	-0.0029308465116901494	40	0.020426201510770087	68.89537676167933	1	40	0.06345269515757479	-1.2660115623041959	-0.56011845740507671	144.92920082510878	3.981198897494312e-05	0.023066182072729893	0.065626256022213586	0.0014647701855926554
1	-17.213999999999999	0.014545484455812673	4.7663410661701694e-05	0.003291883466666666	0	64.975588691801676	88.932904887293418	23.957316195491742	73.061358755959489	0.016733943159645635	8.3495969485456825e-05	0.0057666666666666673	0	1	71.399855062881358	95.624849023834756	24.224993960953398	74.666632984784897	0.50717063017017838	0.50716994047401309	0.50716984778119389	10.143415910872907	240269.10093761969	0.95999999999999996	5.9230058057601083	0.063546878342017596	0.012079556051287795	69.065209999999993	1	0.033979721128282375	0.033980379801339992	60.397780256438978	73.888791235944879	24.91406488954955	70.501145929209756	95.415210818759306	-0.00076356681418179861	40	0.020434190881372067	68.972003539316788	1	40	0.063468228253499112	-1.2625846372435752	-0.55894143559195664	144.94517074076998	3.9811540321547448e-05	0.023181333803172523	0.065658603480385352	0.0014604284431164903
1	-14.214	0.014547894064950332	4.7695002248090335e-05	0.0032972866666666672	0	64.982167801769904	88.939758126843671	23.957590325073767	73.063126289475562	0.01671975396712826	8.3213134922787452e-05	0.0057527528533333344	0	0.99758720000000001	71.355307065173278	95.578444859555503	24.223137794382225	74.656275449997025	0.50717707732740713	0.50717642854399614	0.50717634143011914	10.14354465775496	240269.20297183891	0.95999999999999996	5.9235615410751015	0.063551831790269117	0.012082111528885161	69.132750000000001	1	0.033980195196822806	0.033980814875817986	60.410557644425808	73.89056047270455	24.90944821675069	70.494546153598549	95.403994370349238	-0.00068174679126986604	40	0.020429971832361789	69.044530470402151	1	40	0.063482343207330511	-1.2593547426224048	-0.55783002063408926	144.94577253761193	3.9811523414930276e-05	0.023185724090981651	0.065659824674757172	0.0014602626941786756
1	-11.214	0.014547505231291441	4.7689903316616966e-05	0.0032964138666666675	0	64.98110607061696	88.938652156892672	23.957546086275713	73.062841064857508	0.0167089130904398	8.299752736134725e-05	0.0057369418066666672	0	0.99484539999999999	71.321296813083833	95.543017513628996	24.221720700545163	74.648361198043602	0.50713982640824984	0.50713951258898105	0.50713947036536133	10.142798029639254	240268.61125762714	0.95999999999999996	5.9204476659969547	0.063524089485074681	0.012067985445598605	69.121840000000006	1	0.033978044606238829	0.03397834451447921	60.339927227993023	73.862924429225643	24.932258065896875	70.45813095595426	95.390389021851135	-0.0011553700455398108	40	0.020424853032735408	69.079411629269657	1	40	0.063489403343089432	-1.2577950256392789	-0.55729260040347506	144.94228260096966	3.9811621459548233e-05	0.023160536537772208	0.065652755670962099	0.001461208437177479
1	-8.2140000000000004	0.014549203419365034	4.771217534351354e-05	0.0033002282666666667	0	64.985743272874899	88.943482575911347	23.957739303036448	73.064086755778831	0.016701195787342575	8.2844298134014338e-05	0.0057303003366666674	0	0.99369370000000001	71.297099350043581	95.517811822962088	24.220712472918507	74.642726826897487	0.50715263811546718	0.50715227564859111	0.50715222717566011	10.14305450061106	240268.81451461319	0.95999999999999996	5.9215300688692549	0.063533729440651499	0.012072913931996582	69.169520000000006	1	0.033978853241836263	0.033979199220769231	60.364569659982905	73.870416123511376	24.923964412454055	70.462033811882847	95.385998224336902	-0.00099258623502683496	40	0.020423200789996172	69.120067472941727	1	40	0.063496946124729212	-1.2559930777023678	-0.55667113458989914	144.94348141390617	3.9811587780644857e-05	0.023169215890520633	0.065655185280074232	0.001460881669995659
