ERR	t	rx	Gx	xBF	P_vx	HbO2x	HbTx	HHbx	TOIx	ry	Gy	yBF	P_vy	yFlux	HbO2y	HbTy	HHby	TOIy	f1	f2	f3	L	R_Hi	SaO2sup	XOv	O2c	CBF	P_a	u	J_O2	CMRO2	Vmca	TOI	HHb	HbO2	HbT	CCO	Pa_CO2	r	v_p	v_u	v_c	v_o	eta	mu	Dpsi	H	O2	a	bred
1	-19.706	0.014742895048832177	5.0304107655499104e-05	0.0037832114666666665	0	65.518204176533857	89.498129350556098	23.979925174022242	73.206227495442903	0.016106099645999621	7.1652917867411211e-05	0.0053887873800000001	0	0.93447179999999996	69.464852640149587	93.609221500155812	24.144368860006225	74.207275230927934	0.50793200935346405	0.50793200935346228	0.50793200935346405	10.158640187069276	240281.1667668983	0.95999999999999996	5.9878171940593274	0.064131238137993818	0.012383253600567344	75.206810000000004	1	0.034031444626682082	0.034031444626682096	61.916268002836723	74.198645089530885	24.393038950829492	70.148658706031966	94.541697656861459	0.0089160420579250527	40	0.020102969824477759	75.206810000000004	1	40	0.064131238137993832	-0.99774711599430255	-0.46123080848820275	145.0163330164396	3.9809541166743509e-05	0.023704249681746482	0.065803075254595902	0.0014410788818128809
1	-16.706	0.014756237876467005	5.0486462823272895e-05	0.0038203858666666667	0	65.555143038673279	89.536607331951345	23.981464293278066	73.216023023556957	0.016076131178780987	7.1121108843854759e-05	0.0053818402766666676	0	0.93326710000000002	69.374340452227642	93.514937971070466	24.140597518842824	74.185303393655786	0.50816521695370653	0.50816330430103829	0.50816305273640872	10.163313461246421	240284.87062560217	0.95999999999999996	6.0072589579372417	0.064309207655120992	0.012476468141691489	75.671490000000006	1	0.034045050936574062	0.034046924533339386	62.382340708457448	74.355871113075253	24.247748897844801	70.307028161508029	94.55477705935283	0.011888454963318015	40	0.020107969542343857	75.416468196116952	1	40	0.064163217818572857	-0.98861579990275827	-0.45762886046184409	145.03817713194852	3.9808927524631281e-05	0.023866055849389986	0.065847439626318185	0.0014352531745785001
1	-13.706	0.014765528236163977	5.0613725758516759e-05	0.0038466026666666669	0	65.580882606512446	89.563419381783802	23.982536775271356	73.222843722568797	0.016036845001803687	7.042844192219568e-05	0.005352505243333334	0	0.92818009999999995	69.255941812554624	93.3916060547444	24.135664242189776	74.156495147923792	0.50823767815556931	0.50823529763207453	0.50823498650882915	10.164764911390263	240286.02100096017	0.95999999999999996	6.0133164418085867	0.064364915606305792	0.012505826429031822	75.999200000000002	1	0.034049408034757478	0.034051744096091553	62.52913214515911	74.397276453645034	24.201154878111211	70.324549913778839	94.52570479189005	0.012812237886844963	40	0.020096854719386645	75.67938997709966	1	40	0.064200566327250588	-0.97722886994181402	-0.45311603530510358	145.04496159258849	3.9808736938391342e-05	0.02391658787108087	0.065861227431146946	0.001433445687250165
1	-10.706	0.014774355328786133	5.0734865437382503e-05	0.0038717698666666665	0	65.605353670325258	89.588910073255491	23.983556402930233	73.229324496392195	0.016002191229491886	6.9821661283847486e-05	0.0053283555966666674	0	0.92399229999999999	69.15174454077227	93.283067229971124	24.131322689198853	74.13107929898166	0.50828057581120722	0.50827799953143815	0.50827765862168395	10.165623798479711	240286.70173125682	0.95999999999999996	6.0169151867877799	0.064398069355193627	0.012523357509752572	76.313789999999997	1	0.034052072133858947	0.034054603127652829	62.616787548762865	74.416960462334799	24.172610452275862	70.314248377329548	94.48685882960541	0.013359090457641901	40	0.020081993644873383	75.965623881217809	1	40	0.064238157329325515	-0.96490380600807035	-0.44820510747482684	145.04897625730212	3.9808624160559231e-05	0.023946576855592615	0.065869389409815557	0.0014323750934759866
1	-7.7060000000000004	0.014782268331666341	5.0843645217990094e-05	0.0038945474666666666	0	65.627303064226567	89.611774025236031	23.984470961009464	73.235134309186776	0.015971348214342516	6.92849116777859e-05	0.0053071210000000006	0	0.92030999999999996	69.059195072295239	93.186661533640887	24.127466461345648	74.108454939513521	0.50829882937614745	0.50829627232710095	0.50829593655176364	10.165988774957814	240286.99100201397	0.95999999999999996	6.0184637163001486	0.064412349259822352	0.012530951049383995	76.598510000000005	1	0.034053314627643785	0.034055827748968169	62.654755246919976	74.419302705557968	24.159254023927787	70.284043380544858	94.443297404472645	0.013591642984672928	40	0.02006531551124268	76.251174722890994	1	40	0.064272471460713243	-0.95268240148682481	-0.44330862107411695	145.05068225360793	3.9808576236737792e-05	0.023959380764052279	0.065872860343054826	0.0014319176134624104
1	-4.7060000000000004	0.014788924068328286	5.0935276765573492e-05	0.0039138666666666674	0	65.64577410445618	89.631014692141861	23.985240587685681	73.240021135464715	0.01595210841113574	6.8951659595696676e-05	0.0052982455233333333	0	0.91877089999999995	69.001553353510616	93.126618076573564	24.125064723062948	74.094340349365993	0.50829645971059212	0.50829409387475311	0.50829378501814571	10.165940469237	240286.9527158647	0.95999999999999996	6.0182956527748059	0.064410799341337865	0.012530192476568867	76.840000000000003	1	0.034053358646744296	0.034055683596215768	62.650962382844334	74.40785195499717	24.158744599578512	70.240305285160602	94.399049884739114	0.013561148896236261	40	0.020048360492223014	76.516845809283836	1	40	0.064301074751085777	-0.94138922507332568	-0.43876037794922879	145.05045645996069	3.9808582579641865e-05	0.02395777855393905	0.065872405207406518	0.0014319728369868181
1	-1.706	0.014795559183166537	5.1026747630906872e-05	0.0039332738666666657	0	65.664196191013545	89.650204365639112	23.986008174625567	73.244892920936991	0.015954135923868244	6.8986721298977299e-05	0.0053176751533333339	0	0.92214019999999997	69.007624429427182	93.132942113986644	24.125317684559462	74.095827816722277	0.5083033423129204	0.50830107920097589	0.50830078092635045	10.166077634106886	240287.06142908245	0.95999999999999996	6.0188957125579945	0.064416334236915423	0.012533169026243135	77.082589999999996	1	0.034053927901529113	0.034056152322065485	62.665845131215676	74.403391570662279	24.152630748093529	70.206084058868271	94.3587148069618	0.01364868841638206	40	0.020032892162362776	76.772102976545327	1	40	0.06432605862323125	-0.93059692221595669	-0.43439274475178852	145.05109760474718	3.9808564569021235e-05	0.023962637214438521	0.065873711767408694	0.0014317983232840868
1	1.294	0.014803043794533611	5.1130077357604053e-05	0.003955345066666666	0	65.684986782970583	89.671861232261008	23.986874449290426	73.2503885615115	0.015965197878714574	6.9178250830850523e-05	0.0053515243333333339	0	0.92801	69.040761345408612	93.167459734800644	24.126698389392033	74.103943095509734	0.50833069391903996	0.50832835127068288	0.50832804283994548	10.166625043642773	240287.49529241407	0.95999999999999996	6.0211972620073864	0.064437576070887889	0.012544437806770928	77.35848	1	0.034055674709457834	0.034057978870276347	62.72218903385464	74.413122377553776	24.13387196645931	70.187413821407773	94.321285787867083	0.013997349047969218	40	0.020018527601890674	77.036669441445341	1	40	0.064350817162018334	-0.91943749674574116	-0.42985495584631234	145.05365634125795	3.9808492690638927e-05	0.023981803962126982	0.065878915657432383	0.0014311155092857207
1	4.2939999999999996	0.0148106270677686	5.123492914218524e-05	0.0039779034666666676	0	65.706062159206311	89.693814749173242	23.987752589966931	73.255956771324591	0.015964202324806456	6.9160997242932352e-05	0.0053696916400000003	0	0.9311604	69.037778148442683	93.164352237961126	24.126574089518442	74.103212752562101	0.50835658421179564	0.50835417475418643	0.5083538576612705	10.167143166399496	240287.90594445285	0.95999999999999996	6.02337696717907	0.064457709844019495	0.012555130593151999	77.640460000000004	1	0.034057337062222734	0.034059708463305124	62.775652965759996	74.421560644090945	24.115969161175173	70.166441214280241	94.282410375455413	0.014327393926435131	40	0.020003597021802898	77.309092691392465	1	40	0.064375206417554093	-0.90797240257626388	-0.42517014895783284	145.05607818364427	3.9808424657923669e-05	0.023999962975833178	0.06588384170039456	0.0014304693289161994
1	7.2939999999999996	0.014816643345105036	5.1318229170345534e-05	0.0039959426666666669	0	65.722790230707702	89.711239823653855	23.988449592946154	73.260374463556133	0.015953027906224292	6.8967558733952394e-05	0.0053702244800000005	0	0.93125279999999999	69.004306544915508	93.129485984286987	24.125179439371479	74.095014930671979	0.50835179553760668	0.50834958417481957	0.50834929446700805	10.167046448320901	240287.82928777576	0.95999999999999996	6.0230054276416221	0.064454277011569625	0.012553370613781591	77.865949999999998	1	0.034057226678471927	0.034059402729289541	62.766853068907956	74.409081643314849	24.117092238641277	70.123731410194821	94.240823648836098	0.014266055981803083	40	0.019987612781240616	77.560340217229168	1	40	0.064394985546046501	-0.89746173339272939	-0.42085521778268975	145.0556260978552	3.9808437357616217e-05	0.023996661271599242	0.065882926208683634	0.0014305848347556263
1	10.294	0.014819872931354049	5.1362987173823887e-05	0.0040056786666666667	0	65.731772796889942	89.720596663427031	23.988823866537089	73.262745948371858	0.0159537017838106	6.897921260609853e-05	0.0053795266900000006	0	0.93286590000000003	69.006324398689628	93.131587915301708	24.12526351661208	74.095509314677699	0.50830672617212103	0.50830505409963056	0.50830483477059296	10.16614249381802	240287.11283456217	0.95999999999999996	6.0192826693428145	0.064419904566075173	0.012535268169520958	77.987650000000002	1	0.034054780548413661	0.03405642392962973	62.676340847604791	74.370247486726583	24.143408295079553	70.057299583687126	94.200707878766679	0.013690881851062778	40	0.019972181794483766	77.753137393328544	1	40	0.064405151015411735	-0.88951303487772493	-0.41757933967605082	145.0514007762128	3.9808556052632923e-05	0.023965194658422898	0.065874341520165122	0.0014317009288782392
1	13.294	0.01483488577139099	5.1571430747517344e-05	0.0040514242666666667	0	65.773554259460795	89.764119020271664	23.990564760810869	73.273770162671553	0.015970019764509895	6.9261862891895781e-05	0.0054411752400000003	0	0.94355639999999996	69.055212854055327	93.182513389640974	24.127300535585647	74.10748040815578	0.50849956482402914	0.50849632271885881	0.50849589838573195	10.170006732804191	240290.17555460287	0.95999999999999996	6.0353300208638956	0.064568405888802499	0.012613915176294817	78.559470000000005	1	0.034066022724343975	0.034069225191844042	63.069575881474087	74.493734805543923	24.022303756968242	70.159669079217991	94.181972836186233	0.016151254054139405	40	0.019964971061794307	78.116945274230503	1	40	0.064440490017361532	-0.87413747373574924	-0.41121178059552743	145.06946324795064	3.9808048655848463e-05	0.024100341058326834	0.06591106349334537	0.0014269166044396965
